store_id,transaction_id,timestamp,basket_value_inr,department,sub_category
STORE_BLR_001,ML0426KAP0001358,2026-04-10T16:55:36Z,274.36,bath-and-body,Body Wash & Shower Gel
STORE_BLR_001,ML0426KAP0001399,2026-04-10T19:21:55Z,99.0,skin,Sheet Mask
STORE_BLR_001,ML0426KAP0001353,2026-04-10T16:45:32Z,553.17,makeup,Concealer and Colour Corrector
STORE_BLR_001,ML0426KAP0001384,2026-04-10T18:41:51Z,1448.18,skin,Toner
STORE_BLR_001,ML0426KAP0001393,2026-04-10T19:02:09Z,466.67,makeup,Lipstick
STORE_BLR_001,ML0426KAP0001333,2026-04-10T13:41:55Z,49.5,skin,Sheet Mask
STORE_BLR_001,ML0426KAP0001408,2026-04-10T19:54:02Z,198.0,skin,Sheet Mask
STORE_BLR_001,ML0426KAP0001324,2026-04-10T12:42:18Z,1.0,personal-care,Manicure & Pedicure Kit
STORE_BLR_001,ML0426KAP0001384,2026-04-10T18:41:51Z,0.8,makeup,Makeup Bag & Organizer
STORE_BLR_001,ML0426KAP0001369,2026-04-10T17:55:02Z,215.67,makeup,Blush
STORE_BLR_001,ML0426KAP0001321,2026-04-10T12:15:05Z,302.33,makeup,Lip Gloss
STORE_BLR_001,ML0426KAP0001324,2026-04-10T12:42:18Z,397.38,makeup,Lip Liner
STORE_BLR_001,ML0426KAP0001333,2026-04-10T13:41:55Z,49.5,skin,Sheet Mask
STORE_BLR_001,ML0426KAP0001336,2026-04-10T13:55:16Z,0.0,bath-and-body,Body & Massage Oil
STORE_BLR_001,ML0426KAP0001418,2026-04-10T20:25:04Z,224.31,makeup,Blush
STORE_BLR_001,ML0426KAP0001399,2026-04-10T19:21:55Z,299.39,makeup,Beauty Blender and Sponge
STORE_BLR_001,ML0426KAP0001324,2026-04-10T12:42:18Z,199.0,skin,Lip Balm
STORE_BLR_001,ML0426KAP0001401,2026-04-10T19:33:52Z,249.0,personal-care,Face & Eyebrow Razor
STORE_BLR_001,ML0426KAP0001324,2026-04-10T12:42:18Z,614.54,makeup,Lipstick
STORE_BLR_001,ML0426KAP0001337,2026-04-10T14:23:21Z,225.0,makeup,Kajal
STORE_BLR_001,ML0426KAP0001358,2026-04-10T16:55:36Z,181.76,hair,Hair Mask
STORE_BLR_001,ML0426KAP0001348,2026-04-10T16:08:03Z,799.0,makeup,Concealer and Colour Corrector
STORE_BLR_001,ML0426KAP0001353,2026-04-10T16:45:32Z,0.0,bath-and-body,Body & Massage Oil
STORE_BLR_001,ML0426KAP0001324,2026-04-10T12:42:18Z,469.77,makeup,Setting spray  powder & fixer
STORE_BLR_001,ML0426KAP0001403,2026-04-10T19:41:29Z,450.0,makeup,Lipstick
STORE_BLR_001,ML0426KAP0001353,2026-04-10T16:45:32Z,691.64,makeup,Foundation
STORE_BLR_001,ML0426KAP0001418,2026-04-10T20:25:04Z,224.31,makeup,Lipstick
STORE_BLR_001,ML0426KAP0001374,2026-04-10T18:07:14Z,495.0,makeup,Lipstick
